tte_lo,tte_hi,n,brier,acc_dir_pct
0,60,126,0.005804273809523809,100.0
60,180,4256,0.017517030310150377,97.60338345864662
180,300,12242,0.019859227924358767,98.15389642215324
300,600,32176,0.02865563598644953,96.93503263910476
600,900,35303,0.08000286576919807,90.92376986487635
900,1200,30818,0.09154859467681226,89.42825621390097
1200,1800,66100,0.13707909213691374,79.75426703788887
1800,2400,65054,0.18975173339840745,68.85684417660805
2400,3000,63952,0.22145877064048036,61.53124413586038
3000,3600,60088,0.23434271568366394,58.014784230154504
